Year,Period,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) ,Total
2008-09,APRIL,"146,612","433,444","580,056","25,152","131,077","156,229","23,692","416,739","933,976","775,979","872,457","721,766","466,885","1,234,190","6,918,254"
2008-09,MAY,"142,716","398,334","541,050","24,327","124,756","149,083","20,261","431,931","890,852","711,190","841,211","667,353","452,136","1,110,945","6,506,145"
2008-09,JUNE,"143,681","412,971","556,652","23,849","127,121","150,970","20,278","423,607","912,027","770,539","864,849","727,239","470,936","1,204,747","6,809,466"
2008-09,JULY,"153,151","446,675","599,826","26,310","137,418","163,728","22,358","435,642","955,852","802,019","907,268","757,081","500,643","1,255,384","7,163,355"
2008-09,AUGUST,"134,442","379,738","514,180","23,763","117,303","141,066","18,415","414,778","821,916","669,657","778,724","631,703","433,930","1,055,194","6,134,809"
2008-09,SEPTEMBER,"144,065","431,175","575,240","24,321","130,913","155,234","24,136","424,755","928,176","797,516","878,839","754,871","485,984","1,257,152","7,012,377"
2008-09,OCTOBER,"155,432","455,813","611,245","25,937","138,669","164,606","22,580","450,247","979,219","823,204","923,756","772,630","507,528","1,289,798","7,320,664"
2008-09,NOVEMBER,"143,667","419,729","563,396","23,659","127,515","151,174","22,136","430,552","853,812","758,860","812,694","720,625","461,626","1,180,017","6,669,462"
2008-09,DECEMBER,"127,497","397,805","525,302","22,069","123,599","145,668","18,170","460,188","792,731","725,817","753,434","691,341","453,464","1,140,037","6,377,122"
2008-09,JANUARY,"131,703","430,538","562,241","22,401","132,906","155,307","21,123","438,793","913,787","756,115","864,594","716,153","480,405","1,212,751","6,838,817"
2008-09,FEBRUARY,"133,384","403,249","536,633","21,677","124,735","146,412","19,071","410,775","869,255","695,495","816,250","648,076","456,005","1,117,989","6,399,006"
2008-09,MARCH,"150,306","461,890","612,196","25,016","140,872","165,888","21,612","467,343","1,030,853","824,869","984,453","782,932","523,004","1,325,524","7,516,758"
2009-10,APRIL,"135,442","419,760","555,202","22,990","130,671","153,661","19,717","444,313","959,455","767,821","898,869","716,554","502,678","1,236,952","6,964,085"
2009-10,MAY,"136,981","402,612","539,593","23,570","122,089","145,659","18,712","443,116","931,591","738,155","876,848","689,783","495,024","1,182,323","6,746,056"
2009-10,JUNE,"145,711","457,758","603,469","23,100","136,116","159,216","21,112","443,144","1,041,274","874,732","980,868","823,039","541,754","1,398,301","7,649,594"
2009-10,JULY,"152,064","465,233","617,297","25,270","141,134","166,404","18,804","449,568","1,035,852","859,901","973,387","802,675","536,786","1,368,865","7,613,240"
2009-10,AUGUST,"134,291","401,657","535,948","22,490","122,733","145,223","17,035","419,582","892,341","743,753","837,426","691,693","454,930","1,174,841","6,593,943"
2009-10,SEPTEMBER,"140,902","454,385","595,287","23,707","138,426","162,133","19,651","439,771","1,005,862","867,056","941,845","810,311","516,336","1,374,082","7,489,754"
2009-10,OCTOBER,"150,037","459,393","609,430","23,903","138,657","162,560","19,889","467,462","1,014,031","849,569","948,110","792,323","519,228","1,343,414","7,498,006"
2009-10,NOVEMBER,"142,792","451,182","593,974","22,676","136,146","158,822","19,575","450,476","960,223","851,796","898,014","796,495","497,614","1,333,171","7,312,956"
2009-10,DECEMBER,"130,422","413,251","543,673","21,138","128,217","149,355","17,569","472,475","848,466","766,898","790,165","714,665","474,840","1,204,750","6,675,884"
2009-10,JANUARY,"123,269","411,370","534,639","20,147","126,094","146,241","17,451","443,258","866,842","723,814","818,007","681,838","480,789","1,184,671","6,578,430"
2009-10,FEBRUARY,"131,663","432,523","564,186","20,869","130,761","151,630","18,468","419,194","938,286","771,620","874,970","717,259","475,561","1,233,080","6,880,070"
2009-10,MARCH,"152,824","506,124","658,948","24,476","154,123","178,599","21,127","478,838","1,086,902","901,907","1,034,812","851,804","561,745","1,438,994","8,051,223"
2010-11,APRIL,"129,362","433,439","562,710","21,341","135,034","156,300","19,955","449,458","962,974","763,093","911,323","720,846","509,887","1,250,594","7,026,316"
2010-11,MAY,"136,054","432,319","568,342","21,070","130,045","151,110","21,694","457,015","955,879","790,513","907,968","750,331","504,151","1,277,484","7,103,975"
2010-11,JUNE,"141,509","487,481","629,017","23,104","145,962","169,096","23,799","452,773","1,068,749","899,604","1,014,192","852,756","550,262","1,437,845","7,896,149"
2010-11,JULY,"147,698","480,826","628,524","23,609","145,639","169,248","23,625","461,932","1,045,414","868,694","992,494","822,958","540,610","1,399,357","7,750,628"
2010-11,AUGUST,"132,188","446,326","578,514","21,550","136,659","158,209","21,192","444,096","953,327","800,405","904,790","758,568","499,969","1,294,013","7,149,806"
2010-11,SEPTEMBER,"139,389","484,489","623,876","22,336","149,100","171,436","23,845","452,913","1,008,101","877,597","953,191","831,612","532,289","1,419,804","7,689,978"
2010-11,OCTOBER,"142,519","469,846","612,366","22,537","142,862","165,399","22,317","462,950","974,120","826,288","919,122","783,624","517,420","1,327,364","7,388,734"
2010-11,NOVEMBER,"141,631","499,954","641,585","22,039","149,450","171,530","24,831","460,020","1,005,801","892,193","951,456","847,959","531,352","1,426,040","7,765,841"
2010-11,DECEMBER,"120,030","415,967","535,998","19,369","128,329","147,698","19,468","481,396","761,033","699,304","714,770","661,114","465,985","1,139,299","6,309,760"
2010-11,JANUARY,"117,655","454,145","571,800","18,762","138,316","157,078","22,260","467,059","902,306","769,731","849,108","728,780","504,297","1,273,669","6,974,966"
2010-11,FEBRUARY,"129,803","453,723","583,526","20,054","138,683","158,738","21,325","429,433","937,570","757,087","887,301","716,959","494,875","1,244,279","6,973,356"
2010-11,MARCH,"145,892","529,621","675,514","22,743","160,956","183,698","23,993","479,573","1,073,486","889,926","1,017,528","843,920","575,115","1,457,485","8,079,450"
2011-12,APRIL,"121,999","425,879","547,878","20,239","134,748","154,987","18,603","441,934","871,337","697,549","825,712","659,842","485,098","1,157,344","6,563,149"
2011-12,MAY,"128,660","470,209","598,869","21,651","147,004","168,655","21,092","452,421","992,857","803,706","939,099","761,110","547,201","1,332,470","7,385,004"
2011-12,JUNE,"139,164","505,250","644,414","22,782","154,896","177,678","21,797","446,111","1,029,712","867,390","974,564","823,035","565,799","1,428,862","7,801,454"
2011-12,JULY,"137,496","480,388","617,884","22,765","148,379","171,144","20,490","444,886","967,990","790,942","918,689","748,311","538,888","1,311,416","7,319,668"
2011-12,AUGUST,"131,563","487,492","619,055","22,008","152,175","174,183","22,078","439,942","962,804","808,576","913,963","766,877","538,178","1,336,694","7,375,588"
2011-12,SEPTEMBER,"137,485","498,592","636,077","22,439","154,965","177,404","21,189","445,332","968,900","843,923","918,229","800,827","552,791","1,396,088","7,574,241"
2011-12,OCTOBER,"136,543","488,914","625,457","21,894","150,866","172,760","20,944","454,827","961,030","820,517","912,017","777,947","549,413","1,356,470","7,449,599"
2011-12,NOVEMBER,"140,832","525,021","665,853","22,265","162,909","185,174","22,673","452,040","980,589","886,029","931,225","841,906","560,168","1,442,034","7,818,718"
2011-12,DECEMBER,"121,781","447,420","569,201","19,731","140,499","160,230","18,879","468,294","807,212","721,628","763,834","683,273","487,582","1,184,811","6,594,375"
2011-12,JANUARY,"126,574","501,589","628,163","20,217","155,183","175,400","21,720","466,543","958,019","819,792","906,420","777,074","555,878","1,366,344","7,478,916"
2011-12,FEBRUARY,"131,951","498,905","630,856","20,234","154,167","174,401","21,757","449,210","967,395","796,603","920,513","755,770","542,291","1,324,226","7,388,279"
2011-12,MARCH,"144,803","538,480","683,283","21,841","162,389","184,230","23,242","483,591","1,048,667","843,979","998,165","800,305","585,428","1,400,157","7,918,560"
2012-13,APRIL,"117,410","458,930","576,340","18,616","143,889","162,505","18,885","447,556","934,227","738,493","889,945","700,779","531,111","1,238,307","6,976,993"
2012-13,MAY,"139,379","542,959","682,338","21,667","168,026","189,693","22,274","477,547","1,089,364","909,054","1,042,366","866,850","621,920","1,503,806","8,277,243"
2012-13,JUNE,"123,269","462,146","585,415","19,376","145,481","164,857","18,097","452,856","915,222","726,747","876,016","692,279","530,930","1,228,583","6,941,274"
2012-13,JULY,"134,846","517,396","652,242","20,874","158,793","179,667","20,546","473,683","1,029,949","848,114","982,856","809,321","596,611","1,419,450","7,844,348"
2012-13,AUGUST,"129,257","499,541","628,798","20,589","157,220","177,809","19,490","456,679","976,422","801,082","932,480","763,210","562,241","1,346,313","7,471,131"
2012-13,SEPTEMBER,"127,063","477,062","604,125","20,049","147,764","167,813","19,332","443,108","924,795","791,277","884,143","756,003","540,771","1,333,640","7,236,945"
2012-13,OCTOBER,"139,451","553,343","692,794","21,815","170,542","192,357","21,453","477,554","1,098,958","945,327","1,051,178","905,421","623,050","1,554,747","8,447,990"
2012-13,NOVEMBER,"137,491","540,722","678,213","21,765","168,119","189,884","20,532","465,388","1,020,188","888,047","974,030","850,118","585,623","1,460,222","8,000,342"
2012-13,DECEMBER,"112,827","440,334","553,161","18,017","139,201","157,218","16,342","471,498","807,210","709,033","769,108","676,683","488,791","1,174,614","6,534,037"
2012-13,JANUARY,"125,138","531,913","657,051","19,973","168,027","188,000","20,400","470,151","1,014,811","860,100","964,378","818,994","595,356","1,438,632","7,872,924"
2012-13,FEBRUARY,"122,830","492,495","615,325","19,439","154,282","173,721","18,135","430,328","962,444","789,582","919,181","753,754","540,599","1,318,535","7,310,650"
2012-13,MARCH,"127,539","498,508","626,047","20,167","159,563","179,730","18,485","475,600","975,386","781,584","932,287","745,783","550,579","1,308,592","7,399,850"
2013-14,APRIL,"121,122","518,276","639,398","19,768","168,226","187,994","18,506","466,095","1,054,678","844,798","1,005,963","805,788","588,776","1,367,656","7,807,044"
2013-14,MAY,"130,784","525,037","655,821","21,024","171,620","192,644","18,570","470,466","1,068,269","853,988","1,014,774","814,763","597,233","1,385,321","7,920,314"
2013-14,JUNE,"127,672","498,175","625,847","20,449","156,479","176,928","17,541","444,119","1,006,969","831,673","957,785","795,623","565,647","1,347,207","7,572,114"
2013-14,JULY,"135,922","556,749","692,671","22,003","177,291","199,294","19,463","474,196","1,117,805","930,669","1,059,001","891,094","627,050","1,503,706","8,406,914"
2013-14,AUGUST,"123,573","497,484","621,057","20,655","162,790","183,445","17,476","452,380","979,790","789,506","930,673","753,251","545,460","1,271,989","7,349,529"
2013-14,SEPTEMBER,"126,444","516,362","642,806","20,524","163,556","184,080","17,875","449,834","1,013,576","872,532","960,781","834,722","564,138","1,401,212","7,768,442"
2013-14,OCTOBER,"139,123","565,260","704,383","22,714","177,253","199,967","19,771","478,671","1,133,389","952,357","1,078,613","912,876","618,982","1,521,196","8,524,555"
2013-14,NOVEMBER,"134,891","539,546","674,437","21,597","167,462","189,059","19,137","463,609","1,033,182","897,748","982,513","862,626","573,328","1,433,193","7,992,328"
2013-14,DECEMBER,"114,941","475,461","590,402","18,872","150,304","169,176","16,618","489,006","924,704","792,125","878,063","755,215","526,132","1,263,475","7,164,494"
2013-14,JANUARY,"128,026","563,330","691,356","20,642","173,920","194,562","19,581","486,534","1,114,591","922,719","1,055,785","882,117","606,244","1,472,573","8,331,980"
2013-14,FEBRUARY,"124,497","514,285","638,782","20,046","158,072","178,118","17,665","447,096","1,041,935","840,014","990,664","803,568","553,695","1,343,212","7,671,649"
2013-14,MARCH,"133,844","551,504","685,348","21,426","168,791","190,217","19,113","491,347","1,116,758","893,025","1,062,820","854,669","603,701","1,441,498","8,234,061"
2014-15,APRIL,"121,831","525,519","647,350","20,021","165,807","185,829","17,460","477,932","1,074,871","860,988","1,025,262","824,022","589,413","1,388,306","7,924,611"
2014-15,MAY,"126,637","528,576","655,213","21,277","164,686","185,963","17,241","493,850","1,091,846","863,561","1,040,280","825,710","594,300","1,396,552","8,005,692"
2014-15,JUNE,"128,095","543,363","671,458","20,841","164,956","185,797","17,579","479,237","1,126,667","933,826","1,076,254","894,311","617,841","1,500,549","8,360,774"
2014-15,JULY,"134,171","573,718","707,889","22,164","175,600","197,764","17,327","487,348","1,174,076","963,044","1,121,576","920,224","639,870","1,542,436","8,677,207"
2014-15,AUGUST,"118,893","498,075","616,968","19,971","154,180","174,151","16,605","453,389","966,400","799,078","922,081","763,317","528,392","1,281,300","7,312,800"
2014-15,SEPTEMBER,"127,765","557,058","684,823","20,749","170,555","191,304","18,389","471,091","1,101,636","960,465","1,048,920","918,830","604,395","1,535,303","8,411,283"
2014-15,OCTOBER,"136,200","583,291","719,491","22,101","179,795","202,465","19,553","492,490","1,161,892","978,955","1,106,063","937,201","627,905","1,564,049","8,731,451"
2014-15,NOVEMBER,"128,275","542,164","670,439","20,466","162,379","182,845","18,086","474,402","1,028,890","913,244","979,969","875,405","560,937","1,450,202","8,007,703"
2014-15,DECEMBER,"113,739","516,672","630,411","19,395","161,044","180,439","17,149","504,601","986,616","869,369","938,163","830,198","551,327","1,377,834","7,696,957"
2014-15,JANUARY,"114,214","550,940","665,154","20,096","169,209","189,305","18,512","480,456","1,062,195","900,005","1,010,540","859,527","579,532","1,433,249","8,052,934"
2014-15,FEBRUARY,"119,514","534,903","654,416","19,934","159,997","179,930","17,998","438,574","1,054,506","863,263","1,006,627","825,512","558,958","1,369,872","7,804,004"
2014-15,MARCH,"131,228","597,813","729,041","21,397","176,677","198,074","19,601","490,777","1,191,702","961,910","1,138,511","920,545","625,393","1,524,051","8,726,720"
2015-16,APRIL,"117,105","552,671","669,776","19,075","170,002","189,077","18,094","478,956","1,125,147","892,485","1,071,720","852,354","598,582","1,436,377","8,191,421"
2015-16,MAY,"120,905","534,974","655,879","19,622","163,760","183,382","17,296","487,594","1,088,120","867,295","1,035,259","827,109","588,695","1,383,009","7,972,899"
2015-16,JUNE,"128,670","595,171","723,841","20,628","177,847","198,475","19,330","487,606","1,193,145","1,010,397","1,135,834","967,006","654,283","1,622,160","8,934,393"
2015-16,JULY,"132,261","604,449","736,710","20,812","184,749","205,561","19,216","498,058","1,230,523","982,583","1,173,263","937,805","663,975","1,585,865","8,975,830"
2015-16,AUGUST,"117,260","527,159","644,419","18,614","161,874","180,488","16,886","471,247","1,044,360","851,332","997,400","811,868","556,841","1,362,990","7,762,738"
2015-16,SEPTEMBER,"122,973","584,084","707,057","18,365","174,521","192,886","18,888","484,485","1,154,874","990,719","1,103,578","947,604","632,163","1,584,567","8,716,764"
2015-16,OCTOBER,"132,501","592,094","724,595","19,354","174,300","193,654","19,277","501,793","1,182,929","985,758","1,132,506","943,247","651,046","1,576,469","8,829,523"
2015-16,NOVEMBER,"126,412","583,594","710,006","18,367","168,677","187,044","18,871","494,759","1,148,032","986,660","1,099,032","945,006","625,433","1,574,337","8,686,230"
